insee_code,zip_code,name,latitude,longitude,department_insee_code
67187,67390,heidolsheim,48.204004154,7.510678943,67
67188,67190,heiligenberg,48.537410619,7.378335595,67
67189,67140,heiligenstein,48.421908285,7.440504157,67
67190,67440,hengwiller,48.668065342,7.328153314,67
67191,67260,herbitzheim,49.021500286,7.081587856,67
67192,67230,herbsheim,48.349535112,7.63670076,67
67194,67850,herrlisheim,48.732534111,7.910009999,67
67195,67390,hessenheim,48.205422043,7.551877974,67
67196,67600,hilsenheim,48.297013187,7.573398859,67
67197,67150,hindisheim,48.466012033,7.622800756,67
67198,67290,hinsbourg,48.902117887,7.295693112,67
67199,67260,hinsingen,48.951255531,6.999104865,67
67200,67150,hipsheim,48.465423939,7.679837718,67
67201,67320,hirschland,48.836091115,7.123707286,67
67202,67270,hochfelden,48.750470851,7.561996118,67
67203,67170,hochstett,48.775483109,7.677647898,67
67204,67800,hoenheim,48.624384381,7.753554131,67
67205,67720,hoerdt,48.690415225,7.784588222,67
67206,67250,hoffen,48.933494232,7.932265187,67
67208,67310,hohengoeft,48.660454489,7.467496965,67
67209,67270,hohfrankenheim,48.728405376,7.58086946,67
67210,67140,le hohwald,48.400860724,7.310497056,67
67212,67810,holtzheim,48.556553377,7.644642182,67
67213,67250,hunspach,48.957794623,7.937120487,67
67214,67117,hurtigheim,48.617090198,7.60350033,67
67215,67270,huttendorf,48.800854266,7.63852879,67
67216,67230,huttenheim,48.353104844,7.575837868,67
67217,67640,ichtratzheim,48.479038869,7.677833125,67
67218,67400,illkirch graffenstaden,48.520309944,7.731458085,67
67220,67270,ingenheim,48.733710706,7.526467565,67
67221,67250,ingolsheim,48.971417961,7.928990455,67
67222,67340,ingwiller,48.88608955,7.468516124,67
67223,67880,innenheim,48.497398998,7.573622299,67
67225,67330,issenhausen,48.804424692,7.534287216,67
67226,67117,ittenheim,48.601507958,7.60412209,67
67227,67140,itterswiller,48.366621093,7.429095377,67
67228,67370,neugartheim ittlenheim,48.65685272,7.541473392,67
67229,67440,jetterswiller,48.669282795,7.417929788,67
67230,67240,kaltenhouse,48.790521454,7.831675552,67
67231,67480,kauffenheim,48.853897278,8.031216526,67
67232,67250,keffenach,48.966578878,7.883867411,67
67233,67230,kertzfeld,48.384030563,7.555437767,67
67234,67260,keskastel,48.976385175,7.062288092,67
67235,67930,kesseldorf,48.885089041,8.059071558,67
67236,67270,kienheim,48.687929125,7.586321585,67
67237,67840,kilstett,48.683089698,7.845340972,67
67238,67350,kindwiller,48.861109767,7.595555817,67
67239,67600,kintzheim,48.258727509,7.373934588,67
67240,67520,kirchheim,48.605868291,7.49068856,67
67241,67320,kirrberg,48.830600515,7.063894792,67
67242,67330,kirrwiller,48.820218187,7.526760255,67
67244,67440,kleingoeft,48.69362566,7.44199113,67
67245,67310,knoersheim,48.679490631,7.458000551,67
67246,67230,kogenheim,48.331873447,7.530848854,67
67247,67120,kolbsheim,48.562097428,7.58598217,67
67248,67880,krautergersheim,48.475354309,7.564951644,67
67249,67170,krautwiller,48.738977354,7.675407719,67
67250,67170,kriegsheim,48.756498441,7.735678983,67
67252,67240,kurtzenhouse,48.737638454,7.806484294,67
67253,67520,kuttolsheim,48.64794147,7.519625582,67
67254,67250,kutzenhausen,48.938729224,7.84893144,67
67255,67220,lalaye,48.338391253,7.234771211,67
67256,67450,lampertheim,48.65475342,7.69447826,67
67257,67250,lampertsloch,48.97017053,7.819515965,67
67258,67700,landersheim,48.690435264,7.50265879,67
67259,67360,langensoultzbach,48.974489443,7.730381944,67
67260,67580,laubach,48.879359961,7.717419842,67
67261,67630,lauterbourg,48.964218181,8.187204199,67
67263,67510,lembach,49.012434947,7.768471842,67
67264,67480,leutenheim,48.849115451,8.013657288,67
67265,67340,lichtenberg,48.921666846,7.482636707,67
67266,67150,limersheim,48.453503746,7.63034733,67
67267,67380,lingolsheim,48.555295397,7.681761268,67
67268,67640,lipsheim,48.489472357,7.656021029,67
67269,67490,littenheim,48.72545362,7.493284529,67
